frame_index,timestamp,instrument_id,instrument_type,center_x,center_y,area,confidence,bbox_x,bbox_y,bbox_w,bbox_h
230,9.2,0,scalpel,503,242,8559,0.44984594376947584,477,158,53,169
230,9.2,2,scissors,510,80,1216,0.4634641225477022,490,50,40,61
235,9.4,0,scalpel,503,248,7999,0.46226824617631546,477,170,53,157
235,9.4,1,scissors,503,89,2447,0.4960823585963788,477,50,53,79
240,9.6,0,scalpel,503,254,7426,0.47661117717003565,477,182,53,145
240,9.6,1,scissors,503,97,2977,0.46845857854232686,477,50,53,94
245,9.8,0,scalpel,503,261,6762,0.4940570477502295,477,195,53,132
245,9.8,1,scalpel,506,105,3156,0.43041322314049585,482,50,48,110
250,10.0,0,scalpel,503,263,6479,0.5008494016988034,477,200,53,127
250,10.0,1,scalpel,508,109,2860,0.4027183280666475,486,50,44,118
255,10.2,0,scalpel,503,267,6120,0.5125,477,207,53,120
255,10.2,1,scalpel,510,119,2416,0.39804398993588186,491,64,39,111
260,10.4,0,scalpel,503,270,5753,0.5252721434724724,477,214,53,113
260,10.4,1,scalpel,513,130,1866,0.38628420857988166,496,78,34,104
265,10.6,0,scalpel,503,272,5534,0.5328928541368572,477,218,53,109
265,10.6,1,scalpel,514,138,1650,0.38590170762182424,498,89,32,98
270,10.8,0,scissors,503,274,5379,0.5393645425418299,477,221,53,106
270,10.8,1,scalpel,516,148,1219,0.3864158163265306,503,106,27,84
275,11.0,0,scissors,503,274,5311,0.5408843537414966,477,222,53,105
275,11.0,1,scalpel,517,153,1033,0.38489480604865217,505,114,25,78
280,11.2,0,scissors,503,275,5282,0.5441752958579882,477,223,53,104
280,11.2,1,scalpel,518,156,904,0.38486582848564455,507,120,23,73
